Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.44700,0.05000,1.79780,0.00000,1.89780
0.44800,0.05000,1.79855,0.00000,1.89855
0.44900,0.05000,1.79930,0.00000,1.89930
0.45000,0.05000,1.80005,0.00000,1.90005
0.45100,0.05000,1.80080,0.00000,1.90080
0.45200,0.05000,1.80155,0.00000,1.90155
0.45300,0.05000,1.80229,0.00000,1.90229
0.45400,0.05000,1.80304,0.00000,1.90304
0.45500,0.05000,1.80378,0.00000,1.90378
0.45600,0.05000,1.80453,0.00000,1.90453
0.45700,0.05000,1.80527,0.00000,1.90527
0.45800,0.05000,1.80601,0.00000,1.90601
0.45900,0.05000,1.80675,0.00000,1.90675
0.46000,0.05000,1.80749,0.00000,1.90749
0.46100,0.05000,1.80823,0.00000,1.90823
0.46200,0.05000,1.80897,0.00000,1.90897
0.46300,0.05000,1.80971,0.00000,1.90971
0.46400,0.05000,1.81045,0.00000,1.91045
0.46500,0.05000,1.81119,0.00000,1.91119
0.46600,0.05000,1.81192,0.00000,1.91192
0.46700,0.05000,1.81266,0.00000,1.91266
0.46800,0.05000,1.81339,0.00000,1.91339
0.46900,0.05000,1.81413,0.00000,1.91413
0.47000,0.05000,1.81486,0.00000,1.91486
0.47100,0.05000,1.81559,0.00000,1.91559
0.47200,0.05000,1.81633,0.00000,1.91633
0.47300,0.05000,1.81706,0.00000,1.91706
0.47400,0.05000,1.81779,0.00000,1.91779
0.47500,0.05000,1.81852,0.00000,1.91852
0.47600,0.05000,1.81925,0.00000,1.91925
0.47700,0.05000,1.81997,0.00000,1.91997
0.47800,0.05000,1.82070,0.00000,1.92070
0.47900,0.05000,1.82143,0.00000,1.92143
0.48000,0.05000,1.82215,0.00000,1.92215
0.48100,0.05000,1.82288,0.00000,1.92288
0.48200,0.05000,1.82360,0.00000,1.92360
0.48300,0.05000,1.82432,0.00000,1.92432
0.48400,0.05000,1.82505,0.00000,1.92505
0.48500,0.05000,1.82577,0.00000,1.92577
0.48600,0.05000,1.82649,0.00000,1.92649
0.48700,0.05000,1.82721,0.00000,1.92721
0.48800,0.05000,1.82793,0.00000,1.92793
0.48900,0.05000,1.82865,0.00000,1.92865
0.49000,0.05000,1.82937,0.00000,1.92937
0.49100,0.05000,1.83008,0.00000,1.93008
0.49200,0.05000,1.83080,0.00000,1.93080
0.49300,0.05000,1.83151,0.00000,1.93151
0.49400,0.05000,1.83223,0.00000,1.93223
0.49500,0.05000,1.83294,0.00000,1.93294
0.49600,0.05000,1.83366,0.00000,1.93366
0.49700,0.05000,1.83437,0.00000,1.93437
0.49800,0.05000,1.83508,0.00000,1.93508
0.49900,0.05000,1.83579,0.00000,1.93579
0.50000,0.05000,1.83650,0.00000,1.93650
0.50100,0.05000,1.83721,0.00000,1.93721
0.50200,0.05000,1.83792,0.00000,1.93792
0.50300,0.05000,1.83863,0.00000,1.93863
0.50400,0.05000,1.83933,0.00000,1.93933
0.50500,0.05000,1.84004,0.00000,1.94004
0.50600,0.05000,1.84075,0.00000,1.94075
0.50700,0.05000,1.84145,0.00000,1.94145
0.50800,0.05000,1.84215,0.00000,1.94215
0.50900,0.05000,1.84286,0.00000,1.94286
0.51000,0.05000,1.84356,0.00000,1.94356
0.51100,0.05000,1.84426,0.00000,1.94426
0.51200,0.05000,1.84496,0.00000,1.94496
0.51300,0.05000,1.84566,0.00000,1.94566
0.51400,0.05000,1.84636,0.00000,1.94636
0.51500,0.05000,1.84706,0.00000,1.94706
0.51600,0.05000,1.84775,0.00000,1.94775
0.51700,0.05000,1.84845,0.00000,1.94845
0.51800,0.05000,1.84915,0.00000,1.94915
0.51900,0.05000,1.84984,0.00000,1.94984
0.52000,0.05000,1.85054,0.00000,1.95054
0.52100,0.05000,1.85123,0.00000,1.95123
0.52200,0.05000,1.85192,0.00000,1.95192
0.52300,0.05000,1.85261,0.00000,1.95261
0.52400,0.05000,1.85330,0.00000,1.95330
0.52500,0.05000,1.85399,0.00000,1.95399
0.52600,0.05000,1.85468,0.00000,1.95468
0.52700,0.05000,1.85537,0.00000,1.95537
0.52800,0.05000,1.85606,0.00000,1.95606
0.52900,0.05000,1.85675,0.00000,1.95675
0.53000,0.05000,1.85743,0.00000,1.95743
0.53100,0.05000,1.85812,0.00000,1.95812
0.53200,0.05000,1.85880,0.00000,1.95880
0.53300,0.05000,1.85949,0.00000,1.95949
0.53400,0.05000,1.86017,0.00000,1.96017
0.53500,0.05000,1.86085,0.00000,1.96085
0.53600,0.05000,1.86153,0.00000,1.96153
0.53700,0.05000,1.86221,0.00000,1.96221
0.53800,0.05000,1.86289,0.00000,1.96289
0.53900,0.05000,1.86357,0.00000,1.96357
0.54000,0.05000,1.86425,0.00000,1.96425
0.54100,0.05000,1.86493,0.00000,1.96493
0.54200,0.05000,1.86560,0.00000,1.96560
0.54300,0.05000,1.86628,0.00000,1.96628
0.54400,0.05000,1.86695,0.00000,1.96695
0.54500,0.05000,1.86763,0.00000,1.96763
0.54600,0.05000,1.86830,0.00000,1.96830
0.54700,0.05000,1.86897,0.00000,1.96897
0.54800,0.05000,1.86965,0.00000,1.96965
0.54900,0.05000,1.87032,0.00000,1.97032
