Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Block0:x
11.65000,0.05000,1.27651,0.00000,1.32651
11.66000,0.05000,1.27978,0.00000,1.32978
11.67000,0.05000,1.28303,0.00000,1.33303
11.68000,0.05000,1.28626,0.00000,1.33626
11.69000,0.05000,1.28947,0.00000,1.33947
11.70000,0.05000,1.29265,0.00000,1.34265
11.71000,0.05000,1.29581,0.00000,1.34581
11.72000,0.05000,1.29894,0.00000,1.34894
11.73000,0.05000,1.30205,0.00000,1.35205
11.74000,0.05000,1.30514,0.00000,1.35514
11.75000,0.05000,1.30820,0.00000,1.35820
11.76000,0.05000,1.31123,0.00000,1.36123
11.77000,0.05000,1.31424,0.00000,1.36424
11.78000,0.05000,1.31722,0.00000,1.36722
11.79000,0.05000,1.32017,0.00000,1.37017
11.80000,0.05000,1.32310,0.00000,1.37310
11.81000,0.05000,1.32600,0.00000,1.37600
11.82000,0.05000,1.32888,0.00000,1.37888
11.83000,0.05000,1.33172,0.00000,1.38172
11.84000,0.05000,1.33454,0.00000,1.38454
11.85000,0.05000,1.33733,0.00000,1.38733
11.86000,0.05000,1.34009,0.00000,1.39009
11.87000,0.05000,1.34283,0.00000,1.39283
11.88000,0.05000,1.34553,0.00000,1.39553
11.89000,0.05000,1.34821,0.00000,1.39821
11.90000,0.05000,1.35085,0.00000,1.40085
11.91000,0.05000,1.35347,0.00000,1.40347
11.92000,0.05000,1.35605,0.00000,1.40605
11.93000,0.05000,1.35861,0.00000,1.40861
11.94000,0.05000,1.36113,0.00000,1.41113
11.95000,0.05000,1.36363,0.00000,1.41363
11.96000,0.05000,1.36609,0.00000,1.41609
11.97000,0.05000,1.36852,0.00000,1.41852
11.98000,0.05000,1.37092,0.00000,1.42092
11.99000,0.05000,1.37329,0.00000,1.42329
12.00000,0.05000,1.37563,0.00000,1.42563
12.01000,0.05000,1.37793,0.00000,1.42793
12.02000,0.05000,1.38020,0.00000,1.43020
12.03000,0.05000,1.38244,0.00000,1.43244
12.04000,0.05000,1.38465,0.00000,1.43465
12.05000,0.05000,1.38682,0.00000,1.43682
12.06000,0.05000,1.38896,0.00000,1.43896
12.07000,0.05000,1.39107,0.00000,1.44107
12.08000,0.05000,1.39314,0.00000,1.44314
12.09000,0.05000,1.39518,0.00000,1.44518
12.10000,0.05000,1.39718,0.00000,1.44718
12.11000,0.05000,1.39915,0.00000,1.44915
12.12000,0.05000,1.40109,0.00000,1.45109
12.13000,0.05000,1.40299,0.00000,1.45299
12.14000,0.05000,1.40485,0.00000,1.45485
12.15000,0.05000,1.40668,0.00000,1.45668
12.16000,0.05000,1.40848,0.00000,1.45848
12.17000,0.05000,1.41024,0.00000,1.46024
12.18000,0.05000,1.41196,0.00000,1.46196
12.19000,0.05000,1.41365,0.00000,1.46365
12.20000,0.05000,1.41530,0.00000,1.46530
12.21000,0.05000,1.41692,0.00000,1.46692
12.22000,0.05000,1.41850,0.00000,1.46850
12.23000,0.05000,1.42004,0.00000,1.47004
12.24000,0.05000,1.42155,0.00000,1.47155
12.25000,0.05000,1.42302,0.00000,1.47302
12.26000,0.05000,1.42445,0.00000,1.47445
12.27000,0.05000,1.42584,0.00000,1.47584
12.28000,0.05000,1.42720,0.00000,1.47720
12.29000,0.05000,1.42852,0.00000,1.47852
12.30000,0.05000,1.42981,0.00000,1.47981
12.31000,0.05000,1.43105,0.00000,1.48105
12.32000,0.05000,1.43226,0.00000,1.48226
12.33000,0.05000,1.43343,0.00000,1.48343
12.34000,0.05000,1.43457,0.00000,1.48457
12.35000,0.05000,1.43566,0.00000,1.48566
12.36000,0.05000,1.43672,0.00000,1.48672
12.37000,0.05000,1.43773,0.00000,1.48773
12.38000,0.05000,1.43871,0.00000,1.48871
12.39000,0.05000,1.43966,0.00000,1.48966
12.40000,0.05000,1.44056,0.00000,1.49056
12.41000,0.05000,1.44142,0.00000,1.49142
12.42000,0.05000,1.44225,0.00000,1.49225
12.43000,0.05000,1.44303,0.00000,1.49303
12.44000,0.05000,1.44378,0.00000,1.49378
12.45000,0.05000,1.44449,0.00000,1.49449
12.46000,0.05000,1.44516,0.00000,1.49516
12.47000,0.05000,1.44579,0.00000,1.49579
12.48000,0.05000,1.44638,0.00000,1.49638
12.49000,0.05000,1.44693,0.00000,1.49693
12.50000,0.05000,1.44744,0.00000,1.49744
12.51000,0.05000,1.44792,0.00000,1.49792
12.52000,0.05000,1.44835,0.00000,1.49835
12.53000,0.05000,1.44875,0.00000,1.49875
12.54000,0.05000,1.44910,0.00000,1.49910
12.55000,0.05000,1.44942,0.00000,1.49942
12.56000,0.05000,1.44969,0.00000,1.49969
12.57000,0.05000,1.44993,0.00000,1.49993
12.58000,0.05000,1.45012,0.00000,1.50012
12.59000,0.05000,1.45028,0.00000,1.50028
12.60000,0.05000,1.45040,0.00000,1.50040
12.61000,0.05000,1.45048,0.00000,1.50048
12.62000,0.05000,1.45052,0.00000,1.50052
12.63000,0.05000,1.45051,0.00000,1.50051
12.64000,0.05000,1.45047,0.00000,1.50047
12.65000,0.05000,1.45039,0.00000,1.50039
